LLLLLLLLLLLLLLLLLLLLLLLLL
LLLLLLLLLLLLLLLFLLLLLLLLL
LLLLLLLLLLLLFFFFFFFLLLLLL
LLLLLLLLLLLFFFFFFFFFLLLLL
LLLLLLLLLLLFFFFFFFFFLLLLL
LLLLLLLLLLLFFFFFFFFFLLLLL
LLLLLLLLLLFFFFFFFFFFFLLLL
LLLLLLLLLLLFFFFFFFFFLLLLL
LLLLLLLLLLLFFFFFFFFFLLLLL
LLLLLLLLLLLFFFFFFFFFLLLLL
LLLLLLLLLLLLFFFFFFFLLLLLL
LLLLLLLLLLLLLLLFLLLLLLLLL
LLLLLLLLLL LLLLLLLLLLLLLL
LLLLLLL       LLLLLLLLLLL
LLLLLL         LLLLLLLLLL
LLLLLL         LLLLLLLLLL
LLLLLL          LLLLLLLLL
LLLLL            LLLLLLLL
LLLLL            LLLLLLLL
LLLLLL           LLLLLLLL
LLLLLL            LLLLLLL
LLLLLL           LLLLLLLL
LLLLLLL          LLLLLLLL
LLLLLLLL         LLLLLLLL
LLLLLLLLL       LLLLLLLLL
